Longitud;Latitud
 2,18560687; 4,14038579e+01
 2,15779575; 4,13727133e+01
 2,17947431; 4,13949313e+01
 2,18357636; 4,14022662e+01
 2,18413062; 4,14026773e+01
 2,18336040; 4,14022209e+01
 2,18336040; 4,14022209e+01
 2,18212605; 4,14031159e+01
 2,17885764; 4,13980606e+01
 2,18119863; 4,14004770e+01
 2,18171782; 4,14011067e+01
 2,18047704; 4,13991909e+01
 2,18105598; 4,13997098e+01
 2,18115541; 4,13997841e+01
 2,17958638; 4,13980615e+01
 2,17962302; 4,13994284e+01
 2,17962302; 4,13994284e+01
 2,15709469; 4,13749149e+01
 2,15840614; 4,13766600e+01
 2,15717413; 4,13766630e+01
 2,15717413; 4,13766630e+01
 2,18115723; 4,13936640e+01
 2,18115723; 4,13936640e+01
 2,18059511; 4,13940860e+01
 2,18308049; 4,14000692e+01
 2,17030075; 4,13758303e+01
 2,16592512; 4,13766387e+01
 2,16891608; 4,13765444e+01
 2,16982278; 4,13766289e+01
 2,16902283; 4,13766322e+01
 2,17493049; 4,13762151e+01
 2,17346373; 4,13748304e+01
 2,16763782; 4,13735718e+01
 2,17012624; 4,13736221e+01
 2,16696337; 4,13740699e+01
 2,16373386; 4,13766459e+01
 2,16918175; 4,13748286e+01
 2,16747907; 4,13766346e+01
 2,17141998; 4,13765994e+01
 2,14637954; 4,13611644e+01
 2,15903745; 4,13555992e+01
 2,16661879; 4,13616233e+01
 2,16404045; 4,13597977e+01
 2,16003281; 4,13561746e+01
 2,15831895; 4,13650840e+01
 2,15456821; 4,13744861e+01
 2,16471318; 4,13738583e+01
 2,13720902; 4,13309875e+01
 2,13720902; 4,13309875e+01
 2,15206290; 4,13731568e+01
 2,14854020; 4,13490999e+01
 2,17351234; 4,13695637e+01
 2,14933597; 4,13748951e+01
 2,16123157; 4,13701085e+01
 2,16413567; 4,13706677e+01
 2,15862474; 4,13683455e+01
 2,16831736; 4,13725046e+01
 2,14720583; 4,13529561e+01
 2,14464457; 4,13553720e+01
 2,14452493; 4,13556534e+01
 2,14751457; 4,13520974e+01
 2,11184620; 4,13378210e+01
 2,13986028; 4,13505618e+01
 2,13844882; 4,13505679e+01
 2,12101797; 4,13335986e+01
 2,11476476; 4,13392580e+01
 2,11453957; 4,13302146e+01
 2,13653960; 4,13356904e+01
 2,12218530; 4,13407114e+01
 2,15452949; 4,13534068e+01
 2,17344103; 4,13686885e+01
 2,12340201; 4,13420659e+01
 2,14690764; 4,13508997e+01
 2,14082447; 4,13481621e+01
 2,13741811; 4,13471310e+01
 2,14072511; 4,13607804e+01
 2,14659895; 4,13568705e+01
 2,14095383; 4,13602524e+01
 2,13744284; 4,13660920e+01
 2,14297748; 4,13710912e+01
 2,14297748; 4,13710912e+01
 2,14395506; 4,13718258e+01
 2,13720048; 4,13666353e+01
 2,13865093; 4,13678426e+01
 2,14066704; 4,13693562e+01
 2,14320799; 4,13616061e+01
 2,14561238; 4,13805722e+01
 2,14571064; 4,13804932e+01
 2,14402813; 4,13810284e+01
 2,14500898; 4,13791700e+01
 2,14740428; 4,13769333e+01
 2,14665256; 4,13769522e+01
 2,14348924; 4,13815841e+01
 2,14354946; 4,13770039e+01
 2,14921435; 4,13768129e+01
 2,14921435; 4,13768129e+01
 2,14893317; 4,13762289e+01
 2,14776474; 4,13791941e+01
 2,14713512; 4,13796684e+01
 2,14688158; 4,13746905e+01
 2,14522056; 4,13771864e+01
 2,14948442; 4,13772776e+01
 2,14948442; 4,13772776e+01
 2,14375671; 4,13769484e+01
 2,14854039; 4,13759404e+01
 2,13302873; 4,13728713e+01
 2,14014291; 4,13698410e+01
 2,13232772; 4,13747465e+01
 2,13855865; 4,13724630e+01
 2,13522492; 4,13692502e+01
 2,13460027; 4,13702702e+01
 2,13413211; 4,13713363e+01
 2,12757340; 4,13786017e+01
 2,13469720; 4,13827425e+01
 2,13423955; 4,13813686e+01
 2,12973560; 4,13755130e+01
 2,13453196; 4,13828023e+01
 2,12945781; 4,13775041e+01
 2,13550103; 4,13782082e+01
 2,12355065; 4,13774271e+01
 2,13636456; 4,13773595e+01
 2,13042029; 4,13809662e+01
 2,13108764; 4,13759959e+01
 2,13242475; 4,13772443e+01
